islandid,islandname,provid
101,hiu,2
102,metoma,2
103,tegua,2
104,linua,2
105,loh,2
106,toga,2
107,vot tande,2
108,ureparapara,2
109,reef,2
110,mota lava,2
111,rah,2
112,vanua lava,2
113,kwakea,2
114,mota,2
115,gaua,2
116,merig,2
117,mere lava,2
201,santo,3
202,lathi (sakao),3
203,thion,3
204,lathu,3
205,le tharo,3
206,le tharia,3
207,malparavu (oyster),3
208,mavea,3
209,aese,3
210,aore,3
211,tutuba,3
212,bokissa,3
213,ratua,3
214,malo,3
215,malokilikili,3
216,venue,3
217,tangisi,3
218,urelapa,3
219,tangoa,3
220,araki,3
301,maewo,4
302,ambae,4
303,pentecost,4
401,malekula,5
402,vao,5
403,atchin,5
404,wala,5
405,rano,5
406,norsup,5
407,uripiv,5
408,uri,5
409,sakao (khoti),5
410,uliveo,5
411,batghutong,5
412,khuneveo,5
413,avokh,5
414,lembong,5
415,arseo,5
416,awei,5
417,vala,5
418,akhamb,5
419,Metomman,5
420,ambrym,5
421,paama,5
422,lopevi,5
501,lamen,6
502,epi,6
503,tongoa,6
504,tongariki,6
505,buninga,6
506,emae,6
507,makira,6
508,mataso,6
509,nguna,6
510,pele,6
511,emau,6
512,kakula,6
513,moso,6
514,efate,6
515,lelepa,6
516,artoka (hat),6
517,hideaway,6
518,ifira,6
519,iririki,6
520,erakor,6
521,eratap,6
522,ekapum,6
523,erueti,6
601,erromango,7
602,tanna,7
603,aniwa,7
604,futuna,7
605,aneityum,7
606,inyeuc (mystery),7
