"","x"
"1","id"
"2","interview__id"
"3","gps_accuracy"
"4","province"
"5","island"
"6","area_council"
"7","ea_number"
"8","village"
"9","new_village"
"10","fv_time"
"11","fv_result"
"12","fv_num_dwelling"
"13","fv_gps__Latitude"
"14","fv_gps__Longitude"
"15","fv_gps__Accuracy"
"16","fv_gps__Altitude"
"17","fv_gps__Timestamp"
"18","sv_time"
"19","sv_result"
"20","sv_num_dwelling"
"21","sv_gps__Latitude"
"22","sv_gps__Longitude"
"23","sv_gps__Accuracy"
"24","sv_gps__Altitude"
"25","sv_gps__Timestamp"
"26","tv_time"
"27","tv_result"
"28","tv_num_dwelling"
"29","tv_gps__Latitude"
"30","tv_gps__Longitude"
"31","tv_gps__Accuracy"
"32","tv_gps__Altitude"
"33","tv_gps__Timestamp"
"34","tv_photo"
"35","can_enumerate"
"36","IntYear"
"37","interview_date"
"38","total_member_hh"
"39","Q0101__0"
"40","Q0101__1"
"41","Q0101__2"
"42","Q0101__3"
"43","Q0101__4"
"44","Q0101__5"
"45","Q0101__6"
"46","Q0101__7"
"47","Q0101__8"
"48","Q0101__9"
"49","Q0101__10"
"50","Q0101__11"
"51","Q0101__12"
"52","Q0101__13"
"53","Q0101__14"
"54","Q0101__15"
"55","Q0101__16"
"56","Q0101__17"
"57","Q0101__18"
"58","Q0101__19"
"59","Q0101__20"
"60","Q0101__21"
"61","Q0101__22"
"62","Q0101__23"
"63","Q0101__24"
"64","Q0101__25"
"65","Q0101__26"
"66","Q0101__27"
"67","Q0101__28"
"68","Q0101__29"
"69","Q0101__30"
"70","Q0101__31"
"71","Q0101__32"
"72","Q0101__33"
"73","Q0101__34"
"74","Q0101__35"
"75","Q0101__36"
"76","Q0101__37"
"77","Q0101__38"
"78","Q0101__39"
"79","Q0101__40"
"80","Q0101__41"
"81","Q0101__42"
"82","Q0101__43"
"83","Q0101__44"
"84","Q0101__45"
"85","Q0101__46"
"86","Q0101__47"
"87","Q0101__48"
"88","Q0101__49"
"89","HHSIZE"
"90","Q0111__1"
"91","Q0111__2"
"92","Q0111__3"
"93","Q0111__4"
"94","Q0111__5"
"95","Q0111__6"
"96","Q0107"
"97","other_cash_income"
"98","MainOperator__0"
"99","MainOperator__1"
"100","MainOperator__2"
"101","MainOperator__3"
"102","MainOperator__4"
"103","MainOperator__5"
"104","MainOperator__6"
"105","MainOperator__7"
"106","MainOperator__8"
"107","MainOperator__9"
"108","MainOperator__10"
"109","MainOperator__11"
"110","MainOperator__12"
"111","MainOperator__13"
"112","MainOperator__14"
"113","MainOperator__15"
"114","MainOperator__16"
"115","MainOperator__17"
"116","MainOperator__18"
"117","MainOperator__19"
"118","MainOperator__20"
"119","MainOperator__21"
"120","MainOperator__22"
"121","MainOperator__23"
"122","MainOperator__24"
"123","MainOperator__25"
"124","MainOperator__26"
"125","MainOperator__27"
"126","MainOperator__28"
"127","MainOperator__29"
"128","MainOperator__30"
"129","MainOperator__31"
"130","MainOperator__32"
"131","MainOperator__33"
"132","MainOperator__34"
"133","MainOperator__35"
"134","MainOperator__36"
"135","MainOperator__37"
"136","MainOperator__38"
"137","MainOperator__39"
"138","MainOperator__40"
"139","MainOperator__41"
"140","MainOperator__42"
"141","MainOperator__43"
"142","MainOperator__44"
"143","MainOperator__45"
"144","MainOperator__46"
"145","MainOperator__47"
"146","MainOperator__48"
"147","MainOperator__49"
"148","MembersWorking__0"
"149","MembersWorking__1"
"150","MembersWorking__2"
"151","MembersWorking__3"
"152","MembersWorking__4"
"153","MembersWorking__5"
"154","MembersWorking__6"
"155","MembersWorking__7"
"156","MembersWorking__8"
"157","MembersWorking__9"
"158","MembersWorking__10"
"159","MembersWorking__11"
"160","MembersWorking__12"
"161","MembersWorking__13"
"162","MembersWorking__14"
"163","MembersWorking__15"
"164","MembersWorking__16"
"165","MembersWorking__17"
"166","MembersWorking__18"
"167","MembersWorking__19"
"168","MembersWorking__20"
"169","MembersWorking__21"
"170","MembersWorking__22"
"171","MembersWorking__23"
"172","MembersWorking__24"
"173","MembersWorking__25"
"174","MembersWorking__26"
