villageid,villagename,acid
101001,Dineumevuneu,101
101002,Kwururetokwa,101
101003,Lateu,101
101004,Likwal,101
101005,Linua,101
101006,Lungharigi,101
101007,Ribal,101
101008,Rinuha,101
101009,Telaklak,101
101010,Yeugavigamena,101
101011,Yoawoyea,101
101012,Yokwana,101
999901,Other Village,101
102001,Lehali,102
102002,Lekwiyangle,102
102003,Lesereplag,102
999902,Other Village,102
103001,Avar,103
103002,Demsas 1,103
103003,Demsas 2,103
103004,Nerenigman,103
103005,Qeremade,103
103006,Rah,103
103007,Telvet,103
103008,Totoglag,103
103009,Valuwa,103
999903,Other Village,103
104001,Ambek,104
104002,Arep,104
104003,Diocese,104
104004,Keyembak,104
104005,Kwakea,104
104006,Lalnete,104
104007,Lalngetakwewe,104
104008,Mberiot,104
104009,Merelaen,104
104010,Mosina,104
104011,Ngere Gasal,104
104012,Port Patterson,104
104013,Qatvaes,104
104014,Quanlap,104
104015,Sisiol,104
104016,Sola,104
104017,Tanlap,104
104018,Tatuve,104
104019,Vatop,104
104020,Vetrow,104
999904,Other Village,104
105001,Gamalna,105
105002,Garamal,105
105003,Liwotkei,105
105004,Lotawan,105
105005,Lotawora,105
105006,Mariu,105
105007,Sukeia,105
105008,Tanarosa,105
105009,Tasmate(Mota),105
105010,Tukwetap,105
105011,Veverao,105
999905,Other Village,105
106001,Angwet,106
106002,Aver,106
106003,Aworor,106
106004,Baravet (Gaua),106
106005,Kereliu,106
106006,Ledowar,106
106007,Legawenda,106
106008,Lemanman,106
106009,Lembot 1,106
106010,Lemoga,106
106011,Levog,106
106012,Lewuslat,106
106013,Metsalowon,106
106014,Munhoro,106
106015,Namasarai,106
106016,Naveto,106
106017,Nemeng,106
106033,Nemiang,106
106034,Nowo,106
106040,Sirity,106
106041,Tala,106
106042,Talvavus,106
106043,Tarasag,106
106044,Tolo,106
106046,Wonlav,106
999906,Other Village,106
107001,Aota,107
107002,Lekwel,107
107003,Lerat,107
107004,Levetmisse,107
107005,Levolvol,107
107006,Lewotniok,107
107007,Tasmat,107
999907,Other Village,107
108001,Bokrat,108
108002,Kerembita,108
